id,common_name,taxon,warehouse_id,type,description,soil,germination_period,flowering_period,seed_longevity,management,conservation_status,profile_pic,profile_pic_author,map,confusion,
1,Pheasant's-eye, Adonis annua	,878679,F,"Annual with deep red, anemone-like flower with central black spot and black anthers. Bright green, finely divided leaves. Elongated oval seed head bears approximately 30 olive green seeds, similar in shape to a grape pip. Plants grow up to 50cm. This plant does not seem to be able to survive in areas spread with high nitrogen fertiliser or compete against nitrophilous crops that quickly out-compete and shade out pheasant's-eye seedlings.",Calcareous silty and clay loams.,Autumn (limited spring germination),June to July,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Endangered (applies to natural populations from the soil seed bank)   ,images/Adonis_annua_2_CG.jpg,Chris Gibson,images/Adonis annua.svg,,images/images/Adonis annua.svg
2,Corncockle, Agrostemma githago,878680,F,"Tall, hairy erect plant (up to 100cm) with long, narrow and undivided leaves, which taper to a point. Flowers are large (2-5cm across) and trumpet-shaped, bright pink with dark streaks and occur singly on long stems. There are very few natural populations originating from the soil seed bank and corncockle is often a component of annual seed mixtures. The seeds are short-lived rotting very quickly in damp weather and may not survive over the winter. This plant was thought to originally be spread in crop seeds as a contaminant, and seed cleaning has reduced its spread so that it is now critically endangered.",Sandy loams.,Autumn,June to August,Very short-lived (less than one year) unless deeply-buried where it may survive dormant for longer,Cereal headland<br/>  Unsprayed cereals,Critically Endangered (applies to natural populations from the soil seed bank)   ,images/Agrostemma_githago_2_CG.jpg,Chris Gibson,images/Agrostemma githago.svg,,images/images/Agrostemma githago.svg
3,Ground-pine, Ajuga chamaepitys,878681,F,"Small 5-20cm, often sprawling plant shaped like a tiny pine tree, with a reddish stem, long, narrow, hairy green leaves (often tinged yellow through to red) and little yellow flowers nestling close to the stem. Flowers and bruised leaves smell of pine-resin. This plant often reappears after deep ground disturbance along hedges and does not seem to be able to live in very shaded or crowded swards.",Thin chalk soils.,Autumn and spring,May to October,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Endangered  ,images/Ajuga_chamaepitys_CS.jpg,Chris Gibson,images/Ajuga chamaepitys.svg,,images/images/Ajuga chamaepitys.svg
4,Rough Marsh-mallow or Hairy Mallow, Althaea hirsuta,878682,F,Bristly annual or biennial up to 60cm. Bristles have swollen bases. Lower leaves are stalked and kidney shaped with bluntly five-lobed. Upper leaves are deeply cut. Characteristic mallow flowers (2.5cm across) are pale pink with scarcely notched petals. The outer sepal ring forms a lobed cup. Rough marsh-mallow is often found adjacent to field boundaries and can be a sprawling plant climbing up through open vegetation. Plants on thinner soils tend to be smaller and short-lived whilst those on deeper soils are more vigorous.,Dry calcareous soils.,Autumn and spring (flowering the following year),May to August,Long-lived,Uncropped cultivated plots (annual)<br/>  Uncropped cultivated plots (biennial)<br/> Greening fallow land,Near Threatened   ,images/Althaea_hirsuta_CS.jpg,Cath Shellswell,images/Althaea hirsuta.svg,,images/images/Althaea hirsuta.svg
5,Small Alison, Alyssum alyssoides,878683,F,"Erect plant up to 30cm, branched from the base. Leaves are spear-shaped, narrower at the base and covered with minute star-shaped hairs. The flowers are borne in a terminal spike and are small with four yellow petals, which fade to white as they dry.",Sandy soils.,Autumn,May to June,Short-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Near Threatened   ,images/Alyssum_alyssoides_Spain_CG.jpg,Chris Gibson,images/Alyssum alyssoides.svg,,images/images/Alyssum alyssoides.svg
6,Blue Pimpernel, Anagallis arvensis ssp. foemina,878684,F,"Scrambling mat-forming plant with stems up to 30cm. The leaves are arranged in opposite pairs, are stalkless  and oval up to 20mm long by 9mm wide. The five blue petals are approximately 10mm in diameter, do not overlap, thereby showing the sepal between the petals. The flower stalks are shorter than the leaves. The petals have short hairs 4 cells (sections) in length.",Calcareous soils.,Spring  ,July - August  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Nationally Scarce   ,images/Anagallis_arvensis_ssp_foemina_CS.jpg,Cath Shellswell,images/Anagallis arvensis ssp foemina.svg,Can be confused with blue-flowered variant of Anagallis arvensis ssp. arvensis,images/images/Anagallis arvensis ssp foemina.svg
7,Small Bugloss, Anchusa arvensis,878685,F,"Erect bristly plant, 15-40cm tall. The bristles have bulbous bases. Wavy-edged spear-shaped leaves 15cm long are stalked at the base of the stem, and clasp the stem further up the plant. Light sky-blue flowers are grouped together at the top of the stem or arising from the top leaf junctions.  ","Well-drained sandy loams, calcareous chalks, limestone, clays and neutral loams.",Spring and autumn  ,June - September  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Nationally Scarce   ,images/Anchusa_arvensis_3_CG.jpg,Chris Gibson,images/Anchusa arvensis.svg,,images/images/Anchusa arvensis.svg
8,Corn Chamomile, Anthemis arvensis ,878686,F,"Tall branched mayweed up to 50cm. Alternate, deeply divided leaves are slightly flattened. The typical daisy flowers have yellow ray-florets with no scales. The yellow disc-florets have a scale attached to the bottom of the flower receptacle. Corn chamomile leaves smell aromatically of chamomile when crushed. The disc floret scale is 2.5mm long by 1mm wide, and broadens to about two-thirds of its length and then tapers to a point.",Chalky loams and calcareous sands.,Spring,June - August  ,Unknow,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Endangered   ,images/Anthemis_arvensis_CS.jpg,Cath Shellswell,images/Anthemis arvensis.svg,Anthemis cotula,images/images/Anthemis arvensis.svg
9,Stinking Chamomile, Anthemis cotula,878687,F,"Tall branched mayweed up to 50cm. Alternate, deeply divided leaves are slightly flattened. The typical daisy flowers have yellow ray-florets with no scales. The yellow disc-florets have a scale attached to the bottom of the flower receptacle. Stinking chamomile leaves smell unpleasant when crushed. The flowers tend to be slightly smaller and the similar sized scales are narrow with linear sides tapering to a point.  ","Calcareous chalks, limestone and clays.",Spring,June - August,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Vulnerable   ,images/Anthemis_cotula_CS.jpg,Cath Shellswell,images/Anthemis cotula.svg,Anthemis arvensis,images/images/Anthemis cotula.svg
10,Annual Vernal-grass, Anthoxanthum aristatum,878688,G,"Usually solitary but sometimes multiple stemmed annual up to 20cm tall. Leaves are 2-4 mm wide and up to 5cm long, hairless, but with tufts of long hair where leaf and stem meet. Spikelets (5-7mm long) have long and conspicuous bent awns and are gathered into a pale green terminal spike. Annual vernal grass was probably introduced in crop seed and has declined due to better seed-cleaning.",Sandy loams and gravelly soils.,Unknown,June - October,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Near Threatened / Extinct   ,images/Anthoxanthum_aristatum.jpg,Christian Fischer,images/Anthoxanthum aristatum.svg,Anthoxanthum odoratum (but different habitat = grassland),images/images/Anthoxanthum aristatum.svg
11,Bur Chervil, Anthriscus caucalis,878689,F,"Downy plant, up to 50cm. The stems are hollow and hairless, but the finely branched leaves have tiny (5mm) pale-green leaflets. The white flowers are arranged in umbels and are 2mm across. The seeds are 3mm long, oval-shaped and covered with hooked spines. ",Acid-neutral sandy loams and gravelly soils.,Autumn,May - June,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Anthriscus_caucalis_2_CG.jpg,Chris Gibson,images/Anthriscus caucalis.svg,,images/images/Anthriscus caucalis.svg
12,Dense Silky-bent, Apera interrupta,878690,G,"Erect annual grass, up to 70cm tall. The leaves can grow up to 10cm long and 4mm wide are mostly hairless. Each leaf has a long pointed ligule, up to 5mm long. The flowers are arranged in a loose interrupted spike with stalkless branches. Each spikelet has a very long straight awn. It was originally introduced as a seed contaminant from wool shoddy and has declined because of targeted gramnicide use and highly competitive fertilised crops.",Calcareous sandy loams.,Autumn,June - July,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Nationally Scarce   ,images/Apera_interrupta.jpg,Matt Lavin,images/Apera interrupta.svg,,images/images/Apera interrupta.svg
13,Loose Silky-bent, Apera interrupta,878691,G,"Erect annual grass, up to 100cm tall, with either solitary or multiple hairless stems. The leaves can grow up to 20cm long by 10mm wide and can be rough. Each leaf has a long pointed toothed ligule, up to 1cm long. The flowers are finely branched spreading widely making the whole flower head up to 20cm long and 15cm wide. Each spikelet has a long awn. Loose silky-bent has declined because of targeted gramnicides.",Sandy loams and sands.,Autumn (limited germination in the spring),May - September,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Nationally Scarce   ,images/Apera_spica-venti_CG.jpg,Chris Gibson,images/Apera spica-venti.svg,,images/images/Apera spica-venti.svg
14,Slender Parsley-piert, Aphanes australis,878692,F,"Small, 2-20cm, low-growing plant. Fan-shaped leaves have three deeply-toothed main lobes, and are 2-10mm long. Minute flowers less than 2mm are present in leaf axils and are hidden by the larger green leaf stipules. The stipule lobes are oblong shaped whilst the closely related parsley-piert Aphanes arvensis has triangular stipule-lobes. ",Acidic sandy loams and sands.,Spring,April - October,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Aphanes_australis_LR.jpg,Lliam Rooney,images/Aphanes australis.svg,Aphanes arvensis,images/images/Aphanes australis.svg
15,Lamb’s-succory, Arnoseris minima,878693,F,"A member of the daisy family that can grow up to 30cm tall. The hairless elliptical leaves form a rosette at the bottom of the flower spike. The yellow flowers are 7-11mm in diameter and are borne singly at the end of each stem. The flowering stems are inflated just below the flower head. Although this plant can look similar to other yellow daisy flowers, such as dandelions, hawkbits, cat's-ears and hawkweeds, the inflated flower stem is distinctive. Lamb's-succory is unable to cope in high nitrogen environments and the marginal low-intensity arable fields that it did occupy have tended to be abandoned for cultivation.",Acidic sandy loams and sands.,Autumn (limited spring germination),June - August,Unknown but seeds last for at least three years in the soil seed bank,Uncropped cultivated plots (annual)<br/> Greening fallow land,Critically Endangered / Extinct   ,images/Arnoseris_minima.jpg,,images/Arnoseris minima.svg,,images/images/Arnoseris minima.svg
16,Bristle Oat  or  Black Oat, Avena strigosa,878694,G,"Tall erect grass, up to 120cm. The blunt, slightly-toothed membrane ligule at the base of each leaf is 1.5-5mm and the leaf blades are broad and flat tapering to a point much like other members of the oat grass family. The flower spike often flowers to one side and each spikelets bears two flowers 16-26mm. The lemmas have two teeth each with a bristle and there is an awn on both lemmas from the middle of the back. There is no obvious callus scar on the florets when they are separated and they do not shatter easily, which hinders the establishment of populations. Bristle oat was originally grown as a cereal crop in poorer soils in the North and West of Britain but modern varieties of cultivated oat Avena sativa have taken over.  ",Acidic sandy loams and sands.,Autumn,June - September,Unknown,Unknown  ,Nationally Scarce   ,images/Avena_strigosa.jpg,,images/Avena strigosa.svg,other Avena spp.,images/images/Avena strigosa.svg
17,Black Mustard, Brassica nigra,878695,F,"Tall plant, up to 100cm and member of the cabbage family. The lower bristly bright-green leaves are lyre-shaped and lobed. The upper leaves are undivided, elliptical hairless and do not clasp the stem. The 10-15mm yellow flowers are grouped at the top of the flowering spike in a loose raceme. The seed pods are adpressed, four-angled and 12-20mm long. A seedless slender beak extends at the end of the seed pod.","Acidic sandy loams and sands, silty and clay loams.",Unknown,June - September,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Brassica_nigra_1_CG.jpg,Chris Gibson,images/Brassica nigra.svg,,images/images/Brassica nigra.svg
18,Lesser Quaking-grass, Briza minor,878696,G,"An erect grass, up to 50cm tall. Leaves are 3-7mm wide, hairless and blue-green in colour with a pointed ligule 3-6mm long. The branched flower-head has triangular flower spikelets and looks like a smaller version of the common quaking-grass associated with calcareous grasslands. It tends to grow in slightly damp areas of fields where water has pooled suppressing other plants and creating bare ground.","Acidic sands, loams, gravels and clays.",Autumn (limited spring germination),June - August  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Nationally Scarce   ,images/Briza_minor_CG.jpg,Chris Gibson,images/Briza minor.svg,Briza media (but different habitat = grassland),images/images/Briza minor.svg
19,Field Brome, Bromus arvensis,878697,G,"Robust tall grass, up to 100cm tall. Leaves and stem are softly-densely hairy. The leaves have a blunt ligule up to 4mm long and leaf blades can be up to 20cm long by 5mm wide. The spikelet of flowers is very branched and drooping with long-stalked spikelets that are laterally compressed 1.5cm long by 4m wide. The lemma is inrolled stopping the spikelets from breaking-up easily and short, less than 6.5mm long, with a rough straight awn up to 1cm long. Field brome probably relied on being spread as a contaminant of crop seed and more effective seed cleaning has probably been the cause for its decline.",Loams and clay loams.,Autumn,June - July  ,Unknown but probably short-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Near Threatened   ,images/Bromus_arvensis.jpg,,images/Bromus arvensis.svg,some other Bromus spp.,images/images/Bromus arvensis.svg
20,Interrupted Brome, Bromus interruptus,878698,G,"Tall grass, up to 100cm. Leaves and stem are softly-densely hairy. The leaves are 20cm long by 5mm wide and there is a blunt ligule up to 4mm long. The flower spike is branched with very short spikelet stalks that are grouped into clusters of three. The spikelets are oval and slightly laterally compressed 1-1.7cm long. The lemma has a rough straight awn up to 8mm long. Interrupted brome is very poorly competitive and cannot compete against modern crop varieties grown with nitrogen fertilisers.",Usually clay loams and occasionally other soil types.,Autumn,June - July  ,Short-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Near Threatened   ,images/Bromus_interruptus_CG.jpg,Chris Gibson,images/Bromus interruptus.svg,some other Bromus spp.,images/images/Bromus interruptus.svg
21,Rye Brome, Bromus secalinus,878699,G,An erect grass up to 1m tall. Leaves are 5mm wide and can be 20cm long with blunt ligules up to 4mm long. The stem and leaf are softly hairy. The branched flower-head has slightly laterally compressed long-stalked oval spikelets. The inrolled lemma stops the spikelets breaking-up and shedding when ripe keeping the seeds in a spikelet form until much later in the summer compared with other bromes.,Calcareous clays loams and occasionally other soil types.,Autumn,June - July  ,Short-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Vulnerable   ,images/Bromus_secalinus_CS.jpg,Cath Shellswell,images/Bromus secalinus.svg,some other Bromus spp.,images/images/Bromus secalinus.svg
22,Greater Pignut, Bunium bulbocastanum,878700,F,"A tall member of the carrot family, up to 60cm. This is a perennial plant over-wintering as an underground tuber formed at the base of the stem. Finely divided three-pinnately divided leaves appear feathery. The white umbellifer flowers are typical of the carrot family and may be 3-8cm across. Greater pignut has a solid stem compared with pignut Conopodium majus which has a hollow stem. This perennial plant needs occasional disturbance of field edge habitats every other year.",Calcareous loams over chalk.,Unknown,June - July  ,Unknown,Uncropped cultivated plots (biennial),Vulnerable   ,images/Bunium_bulbocastanum.jpg,Rob Hille,images/Bunium bulbocastanum.svg,,images/images/Bunium bulbocastanum.svg
23,Thorow-wax, Bupleurum rotundifolium,878701,F,"Distinctive member of the carrot family, up to 75cm tall, which looks more like a member of the spurge family. The stem is reddish and branched and the leaves are round-oval with the upper leaves completely surrounding the stem. The small greenish-yellow flowers are clustered in small umbels at the end of the stems and cupped by a ring of green petal-like bracteoles. Thorow-wax has not been found in the wild since 1973.",Calcareous loams.,Autumn (limited spring germination),June - July  ,Short-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Critically Endangered / Extinct   ,images/Bupleurum_rotundifolium_CG.jpg,Chris Gibson,images/Bupleurum rotundifolium.svg,,images/images/Bupleurum rotundifolium.svg
24,False Flax  or  Gold-of-pleasure, Camelina sativa,878702,F,"Tall member of the mustard family, up to 120cm tall. The lanceolate leaves are arranged alternatively up the stem which can become woody with age. The pale-yellow flowers have the typical four petals. The seeds, borne in seed pods, are a distinctive orange colour. False flax is often a component of bird seed mixtures.","Sandy soils, loams and clays.",Spring,June - July  ,Unknown,Unknown  ,Nationally Scarce (applies to natural populations from the soil seed bank)   ,images/Camelina_sativa.jpg,Fornax,images/Camelina sativa.svg,Camelina microcarpa,images/images/Camelina sativa.svg
25,Small Bur-parsley, Caucalis platycarpos,878703,F,"Small member of the carrot family, up to 30cm tall. The short leaves are three-pinnately divided and look feathery. Bristles are randomly scattered throughout the plant. Each umbel flower head has 2-5 branches and large seeds are formed in pairs splitting apart as they are shed from the plant. The seeds have distinctive long curved spines and are up to 13mm long. This plant has declined since the introduction of competitive crop varieties and increased use of nitrogen fertilisers. It is also susceptible to herbicides and seed cleaning as it was probably spread in crop seed.",Calcareous clay loams.,Autumn,June  ,Unknown but seeds last for at least three years in the soil seed bank,Uncropped cultivated plots (annual)<br/> Greening fallow land,Critically Endangered / Extinct   ,images/Caucalis_platycarpa_France_CG.jpg,Chris Gibson,images/Caucalis platycarpos.svg,Torilis nodosa?,images/images/Caucalis platycarpos.svg
26,Cornflower, Centaurea cyanus,878704,F,"Tall branched plant up to 1m. Grey-green hairy leaves with long, narrow and variably dissected lower leaves 10-20cm in length and smaller un-dissected upper leaves. The blue flower heads are typical of the daisy family and up to 3cm in diameter.",Sandy soils but may be present on calcareous clays and chalk.,Autumn and spring,June - August  ,Short-lived seed unless deeply-buried where it may survive dormant for longer,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Endangered (applies to natural populations from the soil seed bank)   ,images/Centaurea_cyanus_1_CG.jpg,Chris Gibson,images/Centaurea cyanus.svg,,images/images/Centaurea cyanus.svg
27,Small Toadflax, Chaenorhinum minus,878705,F,"Smallish plant up to 20cm tall. The narrow parallel-sided leaves are arranged alternatively up the stem. Solitary flower stalks are borne in leaf axils. The 6-9mm long asymmetrical flowers are purple outside and paler inside, with a short spur.",Light calcareous loams.,Spring,May - October  ,Short-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Chaenorhinum_minus_3_ES.jpg,Emily Swan,images/Chaenorhinum minus.svg,,images/images/Chaenorhinum minus.svg
28,Fig-leaved Goosefoot, Chenopodium ficifolium,878706,F,"Tall plant, up to 100cm tall. Powdery (termed mealy) plant especially under the leaves. The leaves are hairless, and deeply three-lobed resembling fig-leaves. The flower spike has clusters of small 2mm florets.",Deep loams and clays.,Spring,June - October  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Chenopodium_ficifolium_CS.jpg,Cath Shellswell,images/Chenopodium ficifolium.svg,,images/images/Chenopodium ficifolium.svg
29,Maple-leaved Goosefoot, Chenopodium hybridum,878707,F,"Tall plant, up to 100cm tall. The plant is not mealy. The leaves are hairless, cordate at the base with a few large acute triangular teeth making them resemble maple-leaves. The flower spike has clusters of small 2mm florets.",Clay loams.,Spring,July - October  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Chenopodium_hybridum.jpg,"Malcolm Storey, bioimages.org.uk",images/Chenopodium hybridum.svg,,images/images/Chenopodium hybridum.svg
30,Nettle-leaved Goosefoot, Chenopodium murale,878708,F,"Erect annual, up to 100cm with red streaked stem, mealy. Inflorescences in loose leafless clusters with powdery appearance. The flowers are petal-less and have yellow stamen and tiny green minutely toothed sepals. Leaves are sharp toothed and diamond shaped with smooth upper surface and powdery underside.",Light sandy loams and clay soils.,Spring,June - October  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Vulnerable   ,images/Chenopodium_murale.jpg,Forest & Kim Starr,images/Chenopodium murale.svg,,images/images/Chenopodium murale.svg
31,Many-seeded Goosefoot, Chenopodium polyspermum,878709,F,"Tall plant, up to 100cm with square stems that may have a red tinge. The plant is not mealy. The oval untoothed leaves are hairless and 3-6cm long. The flower spike bears many tiny green flowers.",Light sandy loams and clay soils.,Spring,June - October  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Chenopodium_polyspermum_CG.jpg,Chris Gibson,images/Chenopodium polyspermum.svg,,images/images/Chenopodium polyspermum.svg
